condition_id,coverage_rate,duplicate_visit_count,idle_steps,inter_agent_overlap_cells,num_agents,obstacle_density,seed,sensor_range,steps_to_80_coverage,steps_to_90_coverage,steps_to_95_coverage,strategy,success,termination_reason,total_charge_wait_steps,total_cleaned_cells,total_energy_used,total_path_length,total_steps
agents_1,0.8800599700149925,784,0,0,1,0.15,11,3,1274,,,shared_map_reservation,False,max_steps_reached,0,587,1826.5499999997814,1370.0,1500
agents_1,0.9505247376311844,475,0,0,1,0.15,22,3,886,1101,1217,shared_map_reservation,True,target_coverage_reached,0,634,1502.0999999998394,1108.0,1218
agents_1,0.9505247376311844,506,0,0,1,0.15,33,3,891,1058,1252,shared_map_reservation,True,target_coverage_reached,0,634,1541.649999999831,1139.0,1253
agents_1,0.9100449775112444,765,0,0,1,0.15,44,3,1134,1423,,shared_map_reservation,False,max_steps_reached,0,607,1830.5999999997805,1371.0,1500
agents_1,0.9505247376311844,506,0,0,1,0.15,55,3,959,1175,1248,shared_map_reservation,True,target_coverage_reached,0,634,1540.8499999998348,1139.0,1249
agents_1,0.9505247376311844,532,0,0,1,0.15,66,3,953,1171,1278,shared_map_reservation,True,target_coverage_reached,0,634,1574.1499999998275,1165.0,1279
agents_1,0.9505247376311844,646,0,0,1,0.15,77,3,1037,1264,1402,shared_map_reservation,True,target_coverage_reached,0,634,1718.6499999998052,1279.0,1403
agents_1,0.8530734632683659,802,0,0,1,0.15,88,3,1346,,,shared_map_reservation,False,max_steps_reached,0,569,1823.8499999997864,1370.0,1500
agents_1,0.8455772113943029,808,0,0,1,0.15,99,3,1364,,,shared_map_reservation,False,max_steps_reached,0,564,1824.149999999783,1371.0,1500
agents_1,0.9475262368815592,740,0,0,1,0.15,111,3,1071,1310,,shared_map_reservation,False,max_steps_reached,0,632,1834.3499999997805,1371.0,1500
agents_2,0.952023988005997,510,7,127,2,0.15,11,3,458,557,629,shared_map_reservation,True,target_coverage_reached,7,635,1547.3999999999255,1143.0,630
agents_2,0.9505247376311844,566,26,177,2,0.15,22,3,528,615,671,shared_map_reservation,True,target_coverage_reached,26,634,1621.7999999999124,1198.0,672
agents_2,0.9505247376311844,495,21,184,2,0.15,33,3,451,558,628,shared_map_reservation,True,target_coverage_reached,21,634,1530.0499999999292,1127.0,629
agents_2,0.9505247376311844,925,6,198,2,0.15,44,3,581,736,855,shared_map_reservation,True,target_coverage_reached,6,634,2072.349999999827,1557.0,856
agents_2,0.9505247376311844,499,45,135,2,0.15,55,3,485,582,641,shared_map_reservation,True,target_coverage_reached,45,634,1539.449999999929,1131.0,642
agents_2,0.9505247376311844,620,63,242,2,0.15,66,3,524,609,717,shared_map_reservation,True,target_coverage_reached,63,634,1696.8999999998964,1252.0,718
agents_2,0.9505247376311844,563,19,183,2,0.15,77,3,498,574,666,shared_map_reservation,True,target_coverage_reached,19,634,1616.6499999999137,1195.0,667
agents_2,0.9505247376311844,602,33,147,2,0.15,88,3,488,581,692,shared_map_reservation,True,target_coverage_reached,33,634,1667.9999999999022,1234.0,693
agents_2,0.9505247376311844,590,16,198,2,0.15,99,3,547,626,677,shared_map_reservation,True,target_coverage_reached,16,634,1649.3999999999087,1222.0,678
agents_2,0.952023988005997,830,29,216,2,0.15,111,3,579,694,815,shared_map_reservation,True,target_coverage_reached,29,635,1957.7999999998472,1463.0,816
