condition_id,coverage_rate,duplicate_visit_count,idle_steps,inter_agent_overlap_cells,num_agents,obstacle_density,seed,sensor_range,steps_to_80_coverage,steps_to_90_coverage,steps_to_95_coverage,strategy,success,termination_reason,total_charge_wait_steps,total_cleaned_cells,total_energy_used,total_path_length,total_steps
independent,0.9505247376311844,1412,13,521,3,0.15,11,3,492,611,739,independent,True,target_coverage_reached,13,634,2240.249999999974,2043.0,740
independent,0.9505247376311844,1459,69,517,3,0.15,22,3,441,654,776,independent,True,target_coverage_reached,69,634,2289.5999999999717,2090.0,777
independent,0.9505247376311844,1404,53,540,3,0.15,33,3,431,599,750,independent,True,target_coverage_reached,53,634,2231.849999999973,2035.0,751
independent,0.9505247376311844,1739,106,516,3,0.15,44,3,503,758,889,independent,True,target_coverage_reached,106,634,2583.5999999999567,2370.0,890
independent,0.9505247376311844,1425,20,519,3,0.15,55,3,524,650,747,independent,True,target_coverage_reached,20,634,2253.8999999999733,2056.0,748
independent,0.9505247376311844,1559,67,544,3,0.15,66,3,470,612,811,independent,True,target_coverage_reached,67,634,2394.599999999968,2190.0,812
independent,0.9505247376311844,1229,8,520,3,0.15,77,3,440,580,671,independent,True,target_coverage_reached,8,634,2048.0999999999835,1860.0,672
independent,0.9505247376311844,1397,15,525,3,0.15,88,3,480,647,735,independent,True,target_coverage_reached,15,634,2224.4999999999745,2028.0,736
independent,0.9505247376311844,1327,20,510,3,0.15,99,3,427,597,713,independent,True,target_coverage_reached,20,634,2150.9999999999773,1958.0,714
independent,0.9505247376311844,1763,50,546,3,0.15,111,3,542,688,878,independent,True,target_coverage_reached,50,634,2608.7999999999574,2394.0,879
shared_map,0.9505247376311844,851,66,265,3,0.15,11,3,432,508,561,shared_map,True,target_coverage_reached,66,634,1988.3999999999587,1482.0,562
shared_map,0.9505247376311844,615,57,219,3,0.15,22,3,358,431,473,shared_map,True,target_coverage_reached,57,634,1687.8000000000134,1246.0,474
shared_map,0.9505247376311844,875,106,306,3,0.15,33,3,405,537,586,shared_map,True,target_coverage_reached,106,634,2028.599999999942,1506.0,587
shared_map,0.9505247376311844,1267,83,316,3,0.15,44,3,520,593,718,shared_map,True,target_coverage_reached,83,634,2519.399999999852,1898.0,719
shared_map,0.952023988005997,784,78,255,3,0.15,55,3,389,492,542,shared_map,True,target_coverage_reached,78,635,1907.8499999999708,1416.0,543
shared_map,0.952023988005997,766,58,279,3,0.15,66,3,371,460,529,shared_map,True,target_coverage_reached,58,635,1881.1499999999746,1398.0,530
shared_map,0.952023988005997,494,8,192,3,0.15,77,3,336,394,412,shared_map,True,target_coverage_reached,8,635,1525.3500000000413,1126.0,413
shared_map,0.9505247376311844,811,36,302,3,0.15,88,3,379,462,536,shared_map,True,target_coverage_reached,36,634,1931.399999999967,1442.0,537
shared_map,0.9505247376311844,624,17,211,3,0.15,99,3,337,397,463,shared_map,True,target_coverage_reached,17,634,1691.2500000000134,1255.0,464
shared_map,0.9505247376311844,1014,27,268,3,0.15,111,3,454,544,606,shared_map,True,target_coverage_reached,27,634,2186.5499999999192,1645.0,607
goal_reservation,0.9505247376311844,1374,30,493,3,0.15,11,3,436,619,732,goal_reservation,True,target_coverage_reached,30,634,2200.3499999999754,2005.0,733
goal_reservation,0.9505247376311844,1221,31,493,3,0.15,22,3,446,568,676,goal_reservation,True,target_coverage_reached,31,634,2039.699999999983,1852.0,677
