category,condition_id,coverage_rate,duplicate_visit_count,false_negative_rate,false_positive_rate,idle_steps,inter_agent_overlap_cells,num_agents,obstacle_density,seed,sensor_mode,sensor_range,steps_to_80_coverage,steps_to_90_coverage,steps_to_95_coverage,strategy,success,termination_reason,total_charge_wait_steps,total_cleaned_cells,total_energy_used,total_path_length,total_steps
part_b_sensor_modes,manhattan,0.9505247376311844,583,0.0,0.0,55,220,3,0.15,11,manhattan,3,343,418,462,shared_map_reservation,True,target_coverage_reached,55,634,1647.6000000000213,1214.0,463
part_b_sensor_modes,manhattan,0.9535232383808095,587,0.0,0.0,43,239,3,0.15,22,manhattan,3,361,425,460,shared_map_reservation,True,target_coverage_reached,43,636,1653.000000000019,1220.0,461
part_b_sensor_modes,manhattan,0.9505247376311844,616,0.0,0.0,100,244,3,0.15,33,manhattan,3,379,433,488,shared_map_reservation,True,target_coverage_reached,100,634,1697.8500000000136,1247.0,489
part_b_sensor_modes,manhattan,0.9505247376311844,1093,0.0,0.0,19,277,3,0.15,44,manhattan,3,405,532,635,shared_map_reservation,True,target_coverage_reached,19,634,2286.8999999998996,1724.0,636
part_b_sensor_modes,manhattan,0.9505247376311844,504,0.0,0.0,35,178,3,0.15,55,manhattan,3,324,378,425,shared_map_reservation,True,target_coverage_reached,35,634,1542.4500000000394,1135.0,426
part_b_sensor_modes,manhattan,0.9505247376311844,572,0.0,0.0,32,217,3,0.15,66,manhattan,3,353,410,449,shared_map_reservation,True,target_coverage_reached,32,634,1628.2500000000246,1203.0,450
part_b_sensor_modes,manhattan,0.952023988005997,473,0.0,0.0,14,181,3,0.15,77,manhattan,3,343,375,407,shared_map_reservation,True,target_coverage_reached,14,635,1500.3000000000407,1105.0,408
part_b_sensor_modes,manhattan,0.9505247376311844,624,0.0,0.0,47,213,3,0.15,88,manhattan,3,376,428,473,shared_map_reservation,True,target_coverage_reached,47,634,1697.2500000000136,1255.0,474
part_b_sensor_modes,manhattan,0.9505247376311844,513,0.0,0.0,35,183,3,0.15,99,manhattan,3,313,400,427,shared_map_reservation,True,target_coverage_reached,35,634,1553.1000000000413,1144.0,428
part_b_sensor_modes,manhattan,0.9505247376311844,944,0.0,0.0,67,280,3,0.15,111,manhattan,3,451,539,596,shared_map_reservation,True,target_coverage_reached,67,634,2107.0499999999356,1575.0,597
part_b_sensor_modes,euclidean,0.9505247376311844,628,0.0,0.0,71,207,3,0.15,11,euclidean,3,375,430,482,shared_map_reservation,True,target_coverage_reached,71,634,1706.8500000000108,1259.0,483
part_b_sensor_modes,euclidean,0.9505247376311844,469,0.0,0.0,91,187,3,0.15,22,euclidean,3,357,415,431,shared_map_reservation,True,target_coverage_reached,91,634,1509.3000000000436,1100.0,432
part_b_sensor_modes,euclidean,0.9505247376311844,591,0.0,0.0,83,210,3,0.15,33,euclidean,3,380,433,474,shared_map_reservation,True,target_coverage_reached,83,634,1663.2000000000198,1222.0,475
part_b_sensor_modes,euclidean,0.9505247376311844,1081,0.0,0.0,14,326,3,0.15,44,euclidean,3,410,514,628,shared_map_reservation,True,target_coverage_reached,14,634,2270.099999999903,1712.0,629
part_b_sensor_modes,euclidean,0.9505247376311844,600,0.0,0.0,51,207,3,0.15,55,euclidean,3,362,427,466,shared_map_reservation,True,target_coverage_reached,51,634,1667.8500000000183,1231.0,467
part_b_sensor_modes,euclidean,0.9505247376311844,618,0.0,0.0,74,238,3,0.15,66,euclidean,3,364,431,480,shared_map_reservation,True,target_coverage_reached,74,634,1695.1500000000133,1249.0,481
part_b_sensor_modes,euclidean,0.9505247376311844,406,0.0,0.0,22,140,3,0.15,77,euclidean,3,306,365,385,shared_map_reservation,True,target_coverage_reached,22,634,1415.5500000000375,1037.0,386
part_b_sensor_modes,euclidean,0.9505247376311844,610,0.0,0.0,62,233,3,0.15,88,euclidean,3,371,429,473,shared_map_reservation,True,target_coverage_reached,62,634,1682.5500000000166,1241.0,474
part_b_sensor_modes,euclidean,0.9505247376311844,542,0.0,0.0,52,187,3,0.15,99,euclidean,3,345,406,444,shared_map_reservation,True,target_coverage_reached,52,634,1593.750000000032,1173.0,445
part_b_sensor_modes,euclidean,0.9505247376311844,769,0.0,0.0,19,226,3,0.15,111,euclidean,3,393,461,515,shared_map_reservation,True,target_coverage_reached,19,634,1874.6999999999784,1400.0,516
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,594,0.0,0.0,49,224,3,0.15,11,occluded_manhattan,3,349,425,463,shared_map_reservation,True,target_coverage_reached,49,634,1659.7500000000214,1225.0,464
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,599,0.0,0.0,51,229,3,0.15,22,occluded_manhattan,3,374,435,466,shared_map_reservation,True,target_coverage_reached,51,634,1666.8000000000188,1230.0,467
part_b_sensor_modes,occluded_manhattan,0.9535232383808095,509,0.0,0.0,54,153,3,0.15,33,occluded_manhattan,3,327,384,434,shared_map_reservation,True,target_coverage_reached,54,636,1555.5000000000387,1142.0,435
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,912,0.0,0.0,40,270,3,0.15,44,occluded_manhattan,3,423,492,573,shared_map_reservation,True,target_coverage_reached,40,634,2059.6499999999437,1543.0,574
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,793,0.0,0.0,37,263,3,0.15,55,occluded_manhattan,3,408,482,531,shared_map_reservation,True,target_coverage_reached,37,634,1909.4999999999727,1424.0,532
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,576,0.0,0.0,24,230,3,0.15,66,occluded_manhattan,3,330,410,447,shared_map_reservation,True,target_coverage_reached,24,634,1631.250000000024,1207.0,448
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,443,0.0,0.0,9,179,3,0.15,77,occluded_manhattan,3,303,354,395,shared_map_reservation,True,target_coverage_reached,9,634,1460.4000000000387,1074.0,396
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,489,0.0,0.0,24,135,3,0.15,88,occluded_manhattan,3,303,360,415,shared_map_reservation,True,target_coverage_reached,24,634,1520.700000000044,1120.0,416
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,507,0.0,0.0,14,153,3,0.15,99,occluded_manhattan,3,347,400,418,shared_map_reservation,True,target_coverage_reached,14,634,1541.4000000000428,1138.0,419
part_b_sensor_modes,occluded_manhattan,0.9505247376311844,859,0.0,0.0,55,283,3,0.15,111,occluded_manhattan,3,429,521,559,shared_map_reservation,True,target_coverage_reached,55,634,1995.5999999999551,1490.0,560
