battery_capacity,charging_station_capacity,condition_id,coverage_rate,duplicate_visit_count,idle_steps,inter_agent_overlap_cells,low_battery_threshold,num_agents,obstacle_density,recharge_rate,seed,sensor_mode,sensor_range,steps_to_80_coverage,steps_to_90_coverage,steps_to_95_coverage,strategy,success,termination_reason,total_battery_budget_returns,total_battery_depletion_count,total_charge_wait_steps,total_charging_events,total_charging_steps,total_cleaned_cells,total_energy_used,total_low_battery_returns,total_path_length,total_steps
100.0,1,agents_2__capacity_1,0.952023988005997,586,40,159,22.0,2,0.15,12.0,11,manhattan,3,539,626,700,shared_map_reservation,True,target_coverage_reached,13,0,40,54,143,635,1655.5999999999053,5,1219.0,701
100.0,1,agents_2__capacity_1,0.952023988005997,487,106,173,22.0,2,0.15,12.0,22,manhattan,3,494,601,676,shared_map_reservation,True,target_coverage_reached,10,0,106,109,128,635,1542.0499999999254,6,1120.0,677
100.0,1,agents_2__capacity_1,0.9505247376311844,621,79,191,22.0,2,0.15,12.0,33,manhattan,3,579,696,736,shared_map_reservation,True,target_coverage_reached,14,0,79,88,142,634,1705.5499999998958,4,1253.0,737
100.0,1,agents_2__capacity_1,0.9505247376311844,1768,157,265,22.0,2,0.15,12.0,44,manhattan,3,791,991,1413,shared_map_reservation,True,target_coverage_reached,33,0,157,156,271,634,3180.699999999604,1,2400.0,1414
100.0,1,agents_2__capacity_1,0.9505247376311844,429,71,154,22.0,2,0.15,12.0,55,manhattan,3,480,574,629,shared_map_reservation,True,target_coverage_reached,11,0,71,68,128,634,1461.1499999999437,5,1061.0,630
100.0,1,agents_2__capacity_1,0.9505247376311844,601,27,170,22.0,2,0.15,12.0,66,manhattan,3,486,612,700,shared_map_reservation,True,target_coverage_reached,15,0,27,44,142,634,1670.1499999999016,3,1233.0,701
100.0,1,agents_2__capacity_1,0.9505247376311844,483,23,98,22.0,2,0.15,12.0,77,manhattan,3,490,569,632,shared_map_reservation,True,target_coverage_reached,12,0,23,32,128,634,1519.0499999999324,4,1115.0,633
100.0,1,agents_2__capacity_1,0.9505247376311844,931,110,206,22.0,2,0.15,12.0,88,manhattan,3,691,837,923,shared_map_reservation,True,target_coverage_reached,21,0,110,112,175,634,2105.849999999814,1,1563.0,924
100.0,1,agents_2__capacity_1,0.9505247376311844,736,77,119,22.0,2,0.15,12.0,99,manhattan,3,577,726,800,shared_map_reservation,True,target_coverage_reached,18,0,77,84,157,634,1851.8999999998632,2,1368.0,801
100.0,1,agents_2__capacity_1,0.9505247376311844,576,27,151,22.0,2,0.15,12.0,111,manhattan,3,488,577,688,shared_map_reservation,True,target_coverage_reached,18,0,27,44,143,634,1639.0999999999112,0,1208.0,689
100.0,2,agents_2__capacity_2,0.9505247376311844,645,0,130,22.0,2,0.15,12.0,11,manhattan,3,540,636,711,shared_map_reservation,True,target_coverage_reached,13,0,0,19,147,634,1720.7499999998943,6,1277.0,712
100.0,2,agents_2__capacity_2,0.9505247376311844,502,0,194,22.0,2,0.15,12.0,22,manhattan,3,450,546,630,shared_map_reservation,True,target_coverage_reached,13,0,0,16,128,634,1538.1999999999298,3,1134.0,631
100.0,2,agents_2__capacity_2,0.9505247376311844,605,0,193,22.0,2,0.15,12.0,33,manhattan,3,488,619,689,shared_map_reservation,True,target_coverage_reached,14,0,0,18,143,634,1669.9499999999045,4,1237.0,690
100.0,2,agents_2__capacity_2,0.9505247376311844,1584,0,297,22.0,2,0.15,12.0,44,manhattan,3,726,919,1233,shared_map_reservation,True,target_coverage_reached,30,0,0,32,252,634,2915.499999999669,2,2216.0,1234
100.0,2,agents_2__capacity_2,0.9505247376311844,446,0,150,22.0,2,0.15,12.0,55,manhattan,3,458,546,602,shared_map_reservation,True,target_coverage_reached,12,0,0,16,128,634,1468.199999999943,4,1078.0,603
100.0,2,agents_2__capacity_2,0.9505247376311844,487,0,121,22.0,2,0.15,12.0,66,manhattan,3,463,577,621,shared_map_reservation,True,target_coverage_reached,12,0,0,16,125,634,1518.8499999999335,5,1119.0,622
100.0,2,agents_2__capacity_2,0.9505247376311844,588,0,205,22.0,2,0.15,12.0,77,manhattan,3,493,598,681,shared_map_reservation,True,target_coverage_reached,15,0,0,18,144,634,1648.8999999999078,3,1220.0,682
100.0,2,agents_2__capacity_2,0.9505247376311844,949,0,230,22.0,2,0.15,12.0,88,manhattan,3,655,792,877,shared_map_reservation,True,target_coverage_reached,21,0,0,22,175,634,2106.3499999998235,1,1581.0,878
100.0,2,agents_2__capacity_2,0.952023988005997,740,0,152,22.0,2,0.15,12.0,99,manhattan,3,531,690,764,shared_map_reservation,True,target_coverage_reached,17,0,0,20,157,635,1842.8999999998705,3,1373.0,765
100.0,2,agents_2__capacity_2,0.9505247376311844,561,0,195,22.0,2,0.15,12.0,111,manhattan,3,467,564,667,shared_map_reservation,True,target_coverage_reached,18,0,0,18,143,634,1614.9499999999132,0,1193.0,668
100.0,1,agents_3__capacity_1,0.9505247376311844,904,191,239,22.0,3,0.15,12.0,11,manhattan,3,450,523,630,shared_map_reservation,True,target_coverage_reached,19,0,191,116,167,634,2085.449999999937,2,1535.0,631
